[00:00:16.684 - 00:00:32.844] 我们继续，那个，就我们刚刚讲了这个这个格式是无条件能量稳定和一天。
[00:42:41.324 - 00:42:49.484] 就在这个里面做反应，那么在什么条件下，我这个东西就是就是无条件稳定的呢？
[00:42:50.204 - 00:42:53.084] 我什么条件下这个东西就是无条件稳定的？
[00:42:53.644 - 00:42:53.884] 那么。
[00:42:56.876 - 00:42:59.436] 这个东西的半隐格式就可以写成这个样子。
[00:43:00.396 - 00:43:05.676] 我还可以另外一种解释，就是说另外一种解释是什么东西呢？
[00:43:05.676 - 00:43:08.716] 另外一种解释我就是把它写成这样子。
[00:43:09.676 - 00:43:11.196] 这个还是原来的这个形式。
[00:43:11.916 - 00:43:21.996] 然后这个非线性项我把它分成两部分，一部分是这个玩意，另外一部分是这个。
[00:43:33.388 - 00:43:34.188] 这也是同样的。
[00:43:37.676 - 00:43:41.676] 是吧，这也是，这也是同样的，这这都是一回事情。
[00:43:42.156 - 00:43:51.116] 那么写成这样子了以后，那你看我就可以用到那个，可以用到这个这个粗分裂这个框架上面去了。，
[00:43:51.676 - 00:43:54.636] 突的框架，这个是粗的，对吧？
[00:43:54.716 - 00:43:55.276] 这个是粗的。
[00:43:55.836 - 00:44:01.916] 那么下面就是说，这里 s 是一个常数，你要取，这 s 是一个常数，你自己要去。
[00:44:07.564 - 00:44:13.404] 这个这个是是一个常数，那么这个是凸的。
[00:44:13.404 - 00:44:16.684] 现在假如这个是凸的就好办了，对吧？
[00:44:17.004 - 00:44:19.804] 假如这个函数是凸的就好办了。
[00:44:20.844 - 00:44:24.924] 这个函数凸的，那我这个这个这个格式我不就简单了吗？
[00:44:26.444 - 00:44:26.684] 是吧？
[00:44:27.164 - 00:44:28.044] 假如这个是凸的。
[00:44:29.420 - 00:44:34.220] 假如这个是凸的，那这个就变成了凸分裂格式，这个就是凸分裂格式。
[00:44:35.660 - 00:44:39.500] 那这个格式就是这个凸分裂格式，所以它就会无条件稳定。
[00:44:39.740 - 00:44:41.420] 所以在什么情况下这个是凸的？
[00:44:42.060 - 00:44:57.420] 这个你你你你你这个f一y，你让它等于这个x y的平方减掉这个f y，那么你取两阶导数。
[00:44:59.020 - 00:44:59.180] 对吧？
[00:44:59.260 - 00:45:09.420] 你凸就是要两阶导数大于零，你对它取两阶导数就等于二x减掉它的两阶导数。
[00:45:11.628 - 00:45:13.628] 那是减掉俩就倒数，对吧？
[00:45:14.988 - 00:45:23.308] OK，那么这个就是这个就是assumption，if这个f两撇方。
[00:45:28.460 - 00:45:30.780] 它小于等于一个常数。
[00:45:33.740 - 00:45:37.420] 它小于等于一个一个常数，那么我们就可以取。
[00:45:43.132 - 00:45:46.732] 可以取这个 s 就大于二分之 l。
[00:45:49.260 - 00:45:52.140] 就推出这个这个格式。
[00:45:57.740 - 00:45:57.820] 嗯。
[00:46:13.900 - 00:46:14.220] 对吧？
[00:46:15.740 - 00:46:26.867] 就推出，就是你假如这个这个东西是凸的话，这个格式它就是一个凸分裂格式，它就是个凸分裂格式。
[00:46:26.954 - 00:46:32.460] 那那么我们这个证明就就这个这个这个自然就有有这个格式。
[00:46:32.780 - 00:46:37.420] 那现在唯一的这个事情是这个东西能不能够满足，对吧？
[00:46:38.700 - 00:47:01.580] 这个条件的结论，那我们看这个例子，我们看这个例子，这个f'三等于这个1/4最简单的情况，最简单的情况，那么取这个f'两撇三就等于这个除以八的平方减掉一。
[00:47:05.324 - 00:47:07.964] 现在1/2。
[00:47:11.868 - 00:47:20.828] 减掉一，这边的除以八的地方减掉一，那么这个东西它可不可能，它可不可能有界？
[00:47:20.908 - 00:47:30.028] 它不可能有界，它不可能有界，所以是即使是对这个东西，它这个条件也不满足的，就是对这个东西它条件也不满足。
[00:47:30.428 - 00:47:38.108] 但是你要这个，即使你你这样子看这个东西不满足，所以所以那怎么办呢？
[00:47:38.108 - 00:47:39.468] 那就是说你要。
[00:47:41.548 - 00:47:45.228] 你要回过头来想，这个东西是从哪出来的？
[00:47:45.228 - 00:47:49.548] 你要回过来想，它这个能量是从哪出来的？
[00:47:51.468 - 00:47:56.908] 这个能量，这个能量是这个物理学家拍脑袋想出来的，对吧？
[00:47:57.228 - 00:48:01.308] 是物理学家，这个是物理学家这个为了。
[00:48:01.180 - 00:48:05.180] 为了模拟某些现象，他造出来的。
[00:48:05.660 - 00:48:08.940] 他当时造的这个，我跟大家讲一讲这个来源吧。
[00:48:09.420 - 00:48:15.100] 这个来源他当时是，他是希望这个，他这个自由能是怎么取的？
[00:48:15.820 - 00:48:19.500] 他这个在阿兰·卡特卡蒂亚这个自由能里头，他。
[00:48:19.404 - 00:48:36.524] 他他当时是为了做相变，为了做相变，他这个两个厂，一个负一，一个正一，所以他希望这个东西永远是在-1~+1之间，他要控制在-1~+1之间，那么他怎么让它在保持在-1~+1之间呢？
[00:48:36.924 - 00:48:44.524] 所以他们造的这个当时造的这个f斐不是这个，不是这个东西，是是这个一加斐。
[00:48:45.452 - 00:48:55.852] log一加斐，减掉一减斐，log一减斐，然后再加上一个什么常数乘上什么斐的平方。
[00:48:58.092 - 00:49:01.840] 还是就是对某一个常数，是这样子的一个东西。
[00:49:01.852 - 00:49:07.612] 它这样这个东西就是使得这个斐，因为有这个log在里头，就这个斐一定要在。
[00:49:08.460 - 00:49:25.340] 一定要在这个一和负一之间，这个东西你把这个图画一下，它大概就是它它大概这个图大概就是这个样子，这是负一，这里是一，跟这个西塔取的不同的话，它它大概就是这个样。
[00:49:28.092 - 00:49:47.772] 它也有，对嘛，它也有两个，它也有两个最小值，它它也有两个最小值，但是但是在这个斐趋向于一和负一的时候，它会趋向于无穷，就说它它让这个斐永远跳不出去，让斐永远跳不出去，但是。
[00:49:48.716 - 00:50:04.076] 最开始的这个阿兰卡和卡皮亚方式，它这个它这个能量是正取，但是后来这个数学家把这个能量这个这个log我搞不定，因为这个这个这个东西比较麻烦，这个log它有退化是吧？
[00:50:04.076 - 00:50:08.556] 这个曲线函数如果搞不定，他就把它用这个东西，用这个双紧模式去逼近它。
[00:50:10.188 - 00:50:22.828] 这个双景模式不就是毕竟这一段比较好，这两个，这这个东西你想把它搞成一，搞成不一样很简单，就你你就它它两个一样或者不一样都无所谓，两个最小值。
[00:50:24.348 - 00:50:27.708] 所以所以呢当时这。
[00:50:27.564 - 00:50:29.164] 这个双曲模式怎么出来？
[00:50:29.244 - 00:50:32.044] 是为了对这个东西做一个逼近，做个逼近。
[00:50:32.524 - 00:50:34.764] 但是你一逼近了，这个毛病就出来。
[00:50:35.404 - 00:50:41.644] 一逼近了以后，这个它就不能够保证这个斐在-1~1之间，对吧？
[00:50:42.444 - 00:50:45.644] 不能够保证斐到-1~1之间。
[00:50:46.444 - 00:50:55.964] 那么，但是你把这个东西你把它换成，你把它换成这个原来这个也不行，你换成这个原来这个东西你求两阶导数，。
[00:50:58.764 - 00:51:06.364] 求求求两边导数，它它有退化，它有这个退化，它还是不能够保证这个玩意，对吧？
[00:51:06.444 - 00:51:07.724] 还是不能够保证这个东西。
[00:51:08.284 - 00:51:24.364] 所以，既然是这个东西是对这个东西的做个逼近，你你要想清楚它原来的意义是什么，它原来是想干什么，原来它就希望这个y在-1~1之间，所以。
[00:51:25.996 - 00:51:48.236] 对于这个东西，phi 在比较大的时候，他是不在乎这个物理上是，他不希望这个这个东西跑到跑到那个状态去，他希望这个东西永远在-1~1之间，所以你把这个东西改一改没有什么关系，所以这个是 original。
[00:51:48.236 - 00:51:53.836] 所以你就可以，我可以把这个东西改一改，我可以把这个东西。
[00:51:59.340 - 00:52:03.340] 把这个东西改一改，它在-1~1，一的时候，我我就让它这个。
[00:52:05.324 - 00:52:06.764] 那么是这个东西。
[00:52:10.988 - 00:52:15.788] 他在这个外面的时候，他在外面的时候，我就让他是一个。
[00:52:22.988 - 00:52:30.908] 是一个二二次函数，那这个这个总是可以，就是就是在这个-1~1，我让它是这样。
[00:52:32.268 - 00:52:50.188] 那么这个二外面的话，我就让它让它这个增长慢一点，二阶增长，不要不要这个四阶增长，四阶增长我搞不定，所以我就让它在外面就二阶增长，二阶增长，我是这样子，二阶增长是这样，在外面就让它二阶增长。
[00:52:51.596 - 00:52:53.996] 这样，那这样子的话。
[00:52:55.916 - 00:53:04.556] 你这样子的话，你就可以对它求两阶导数，然后它的这个无穷模就可以小于等于一个常数，对吧？
[00:53:05.516 - 00:53:06.716] 小于等于。
[00:53:08.172 - 00:53:11.212] 这样子的话，你你做这个假设就是合理的。
[00:53:11.692 - 00:53:15.212] 这样子做这个假设就是合理的。
[00:53:15.212 - 00:53:20.012] 所以这个这种稳定化的格式它也是合理的。
[00:53:20.012 - 00:53:32.252] 所以这个格式在过去就和这个突分裂格式一样，它后来才就是后来才意识到，就是先有稳定化，后来才有。
[00:53:33.164 - 00:53:55.644] 才才有这种解释，才有这种才有这种突分裂的解释，就是说它也可以解释成是一个突分裂的格式，但是是加了这个条件，加了这个条件，那这个格式就非常简单，算起来就非常简单，达到的效果也跟突分裂一样，也跟突分裂一样，但是它的主要毛病是什么？
[00:53:58.124 - 00:54:01.644] 主要毛病是这个东西没有办法搞成二阶。
[00:54:03.500 - 00:54:18.220] 就是你你去你你你要搞一个二阶的话，就搞那要搞个二阶的话，搞搞个二阶的话，你就得加你你就得这个加加其他的条件，你就得这个。
[00:54:22.796 - 00:54:35.756] 所以所以这个这个东西没有办法，你因为你二阶的话，你这里要变成要变成斐n加一减掉两倍的斐n加上加上斐n减一，这是二阶，这个这个的矛盾就是。
[00:54:40.940 - 00:54:44.140] 这个最后这个稳定化格式，这个这个。
[00:54:58.316 - 00:55:04.236] 它达到二级比较难，那而且你要加上要加更强的这个稳定性，要加更强的稳定性。
[00:55:08.172 - 00:55:17.292] OK，所以这是这是这个第三种办法，就是这个稳定化法，它得出来的格式就非常非常简单。
[00:55:23.308 - 00:55:23.308] 嗯。
[00:55:41.036 - 00:55:46.396] 那下面我再给大家讲这个，拉格朗日乘子法。
[00:55:56.524 - 00:55:59.884] 这个拉格朗日乘子方法是是什么意思？
[00:56:00.364 - 00:56:11.244] 就是说这个这个思想就是就是我我给大家讲一下这个这个这个算法的这个演变过程。
[00:56:11.884 - 00:56:15.244] 就是有了这个演变过程，虽然这些这些格式以后都要变成。
[00:56:16.460 - 00:56:45.020] 替换的都有个更好的格式来取代它，但是这个演变的过程非常重要，就是说这些这些这个造这个格式的办法，虽然现在当然你大概不一定要用，但是你对其他的，对你对你造其他的格式，或者对你怎么证明都是非常有启发作用，你得搞清楚，就是说对有有些什么样的工具，有些什么样的想法，你可以在你以后的这个工作里面可以用的。
[00:56:45.580 - 00:56:50.300] 这个拉格朗日乘子是说我我我我这么干这件事。
[00:56:52.188 - 00:56:53.708] 就我原来考虑这个方程。
[00:56:59.500 - 00:57:09.020] 那个儿子陈子他他这个他他他就是只能够这个对他是对这个。
[00:57:12.108 - 00:57:24.908] 对对这个方程，对这个双解模式提出来，对这个双解模式提出来，他说在这里面，这个东西我引进一个，我引进一个辅助变量，我引进一个辅助变量。
[00:57:27.244 - 00:57:27.804] 对。
[00:57:31.692 - 00:57:34.092] 让 q 等于这个斐的平方减一。
[00:57:36.108 - 00:57:44.748] ，我让 q 等于这个斐的平方去，那么我就把原来的方程我改写一下，那么原来的方程这个。
[00:57:47.020 - 00:57:47.020] 嗯。
[00:57:52.460 - 00:57:53.740] 这是原来的方程。
[00:58:06.348 - 00:58:12.108] 原来的方程是这个负的拉普拉斯斐加上f一撇斐，对吧？
[00:58:13.548 - 00:58:17.068] 这原来的方程是这样，我把它改写一下，改写成什么样子？
[00:58:19.756 - 00:58:28.076] 这个 d phi d t 等于 mu，这个 mu 还是这个 mu 还是 delta 一 delta 三。
[00:58:31.852 - 00:58:41.372] 然后令这个东西，realize这个一翻，这个一翻我就可以把它写成1/4的q的平方，对吧？
[00:58:41.932 - 00:58:45.452] 就变成了1/4q的平方，因为我引进了个新的变量。
[00:58:46.172 - 00:58:51.692] 那么这个时候，哦，不是，这个f吧。
[00:58:54.540 - 00:59:00.940] 那么这个这个一发还是等于这个。
[00:59:03.868 - 00:59:06.508] 还是考虑这个，还是考虑这个房子，对吧？
[00:59:10.668 - 00:59:11.948] 还是还是考虑这个里面。
[00:59:15.692 - 00:59:27.532] 那你对这个对这个东西求变分，现在第一项出来这个负拉普拉斯翻，第二项我现在用这个东西来替代，对吧？
[00:59:27.772 - 00:59:37.292] 这个来替代，我对它求变分导数，现在我就第一步我就得出了这个1/2的这个q，然后再dq dt。
[00:59:38.732 - 00:59:45.452] dq d phi，dq d phi，dq d phi就是二 phi，对吧？
[00:59:45.452 - 00:59:49.452] 就是二 phi，所以这个，所以，所以这个就就变成了 q 乘上 phi。
[00:59:52.684 - 00:59:54.444] 那这个方程就变成了q乘上三。
[00:59:56.972 - 00:59:57.132] 是吧？
[00:59:57.692 - 00:59:58.412] 然后。
[01:00:01.484 - 01:00:05.164] 变成了q乘上斐，然后这个我对q要有一个方程。
[01:00:07.004 - 01:00:12.524] 我引进了个新变量，我对q有个方程，那我q对它求导数，对t求导。
[01:00:14.204 - 01:00:18.444] 对t求导就是就是二斐d斐dt。
[01:00:19.436 - 01:00:47.676] OK，我就把它，把这个简单的方程我给它，现在我给它引引进了一个辅助变量，它叫拉格朗的乘子，这拉格朗的乘子我，，然后我就让它满，它就是满足这两个，这个方程和这个方程等价，这方程和这个方程等价，那下面的这个就比较有意思的，就是说我希望。
[01:00:49.484 - 01:00:54.844] 我现在对这个东西离散，我对这个东西离散，我不对这个去离散。
[01:00:55.404 - 01:01:00.444] 我这个东西多了一个变量以后，多了个变量以后有什么好处？
[01:01:00.524 - 01:01:03.724] 多个变量以后我这个选择余地就多了，对吧？
[01:01:04.204 - 01:01:10.684] 选择余地就多了，我这个变量我可以显示出来，我可以隐式出来，就是说我我可以有更多的选择余地。
[01:01:11.244 - 01:01:14.764] 那么我们要遵循的这个，要遵循的这个。
[01:01:16.668 - 01:01:25.308] ，这个准则呢，还是我们最开始的这个准则，线性的也是非线性的显示，那是这个准则。
[01:01:25.308 - 01:01:35.548] 那么现在我就照这个格式，我就照这个格式，斐n加一减掉斐n，到达t等于这个谬n加七。
[01:01:38.316 - 01:01:38.716] 父亲。
[01:01:47.212 - 01:02:07.292] 包括明文加一等于负的拉帕斯的sin加一，加上OK，这里这个q我要用隐式，这个OK，这里这个这个是非线性项，这个是非线，这两个加在一起是非线性项，所以。
[01:02:08.556 - 01:02:17.676] 我要想给它，我要想给它这个现，我要构造一个现行格式，我就不能够两个都取隐式，是吧？
[01:02:17.676 - 01:02:29.836] 我不能两个都取隐式，我也不想两个都去显示，两个都去显示的话，那就变成完全显示格式，那跟原来这个这个就就就一样，所以我一个地方取隐，一个地方取显。
[01:02:32.044 - 01:02:32.524] 对吧？
[01:02:34.364 - 01:02:43.484] 然后这里 qn 加一减掉 qn 加上 t 就等于两倍的 ok，那这里怎么取呢？
[01:02:43.964 - 01:02:52.284] 这里这个 phi 我去显示，这里取，这里这个 phi d phi d t 呢？
[01:02:52.284 - 01:02:54.764] 当然我没什么没什么选择，我就这么搞。
[01:03:00.332 - 01:03:05.372] 那这个格式，这个格式是一个线性的格式。
[01:03:05.372 - 01:03:12.012] 首先，它对 phi、mu 和 q 它是线性的，就它是没有非线性项。
[01:03:12.012 - 01:03:17.452] 我这个非线性项线性化了，非线性项线性化，那它是个线性。
[01:03:18.172 - 01:03:19.292] 但是它有什么好处呢？
[01:03:21.100 - 01:03:23.980] 它是线性格式，但是它是无条件稳定的。
[01:03:24.140 - 01:03:25.260] 为什么是无条件稳定呢？
[01:03:26.060 - 01:03:35.020] 我这里乘上谬n加一，你看这个东西要要证明它的能量，要证明它的能量等式是怎么证，乘上谬。
[01:03:36.460 - 01:03:37.420] 这里乘上什么东西？
[01:03:38.460 - 01:03:39.980] 乘上斐t对吧？
[01:03:41.260 - 01:03:46.220] 这里乘上斐t，那这个方程要乘上什么东西？
[01:03:48.220 - 01:03:56.540] 这个方程你对这个方程要乘上q，要乘上q，或者是1/2的q。
[01:03:58.956 - 01:04:13.836] 好，然后你看，你乘上这个东西，你看这个玩意这一项，然后把它们都加起来，这一项和这一项它就消掉了，对吧？
[01:04:15.532 - 01:04:23.692] 这一项和这一项就消掉了，剩下的都是都是好的玩意儿，所以你就得出这个能量无性。
[01:04:24.252 - 01:04:43.852] 那么你在这个离散的时候，你我刚刚说了这个离散的时候你照猫画虎，连续的情况怎么做，你离散的情况你也你也得怎么做，要不然就做不出来了，所以你你也照猫画虎，这里乘上vn加一，这里斐t乘上斐n加一减斐n。
[01:04:45.132 - 01:04:51.532] 除上德尔塔 t，然后这里乘上两倍1/2的 q n 加一。
[01:05:19.020 - 01:05:25.900] OK，那么你你把它加起来，你把它加起来，那就得出什么玩意儿？
[01:05:26.220 - 01:05:34.220] 你看这一项和这一项，乘上负的嘛，你你你哪个地方乘上负的？
[01:05:34.220 - 01:05:35.180] 这里乘上负的。
[01:05:36.652 - 01:05:56.812] 这里乘上负的，你再把它加起来，所以，所以这个和这个就消掉了，这个最最麻烦的这项就消掉了，那剩下的都是好玩意儿，这都是好玩意儿，你你你就你就没问题了，剩下的得出来，你先这个东西和这个，这个东西和这个就是1/2加上t。
[01:05:59.884 - 01:06:14.764] 减掉v点y n的平方，加上这个v点y n加一减y n的平方，这是这一项，这个东西消掉了，那剩下的是这一项。
[01:06:16.204 - 01:06:30.524] 这一项同样是这个加上这个1/2这个 q n 加一的平方减掉 q n 的平方，加上这个 q n 加一减 q n 的平方。
[01:06:40.300 - 01:06:49.900] 这一项，然后这个和这个和这个这个消掉，然后剩下这一项等于这个负的g缪n转。
[01:06:53.132 - 01:06:59.692] OK，你看，你马上就得出能量稳定性，但是这个时候的这个能量是什么东西呢？
[01:07:01.932 - 01:07:12.492] 取这个一撇它，这个斐n加一减掉一撇它，这个斐n小于等于零为止。
[01:07:14.508 - 01:07:17.548] 这个能量，这个这个修正的能量是什么玩意呢？
[01:07:18.348 - 01:07:29.228] 这个修正的能量是这个东西，1/2亏点y n加一的平方，加上这个1/2的q。
[01:07:34.028 - 01:07:49.308] 所以你现在这个能量不是这个原来的这个能量，原来这个现在机器人你就是就是就是就是这个，就是就是对，就是一个修正的。
[01:07:54.252 - 01:08:06.732] 所以这个东西你看这个格式，它是线性无条件稳定，线性无条件稳定，而且它和这个不同，和这里的不同在什么地方？
[01:08:07.532 - 01:08:15.372] 这里你要线性无条件稳定，你得你得要满足刚刚我们的那个条件，刚刚我们那个 Lipschitz 条件对吧？
[01:08:16.012 - 01:08:23.212] 就是要满足二阶导数要要有限，这里我没有这个条件了，没有这个条件。
[01:08:24.236 - 01:08:29.676] 完全是5.9，没有没有这个条件，所以这是第一个好处，没有条件。
[01:08:31.196 - 01:08:32.156] 第二个好处是什么？
[01:08:32.364 - 01:08:36.076] 第二个好处是它变成二阶格式非常容易。
[01:08:37.436 - 01:08:41.036] 我要造二阶格式非常简单，你看这是一阶的对不对？
[01:08:41.036 - 01:08:43.276] 这是一阶，那我二阶的格式简单的很。
[01:08:46.796 - 01:08:50.796] 这个二次格式非常简单，假如我用宽格逆克上去做的话。
[01:09:00.684 - 01:09:00.684] 嗯。
[01:09:18.220 - 01:09:34.300] 加上这个两倍的 qn 加一，加上 qn，这里这个斐 n 要要显示，所以是3/2斐 n 减掉1/2斐 n 减一，这个玩意儿，然后。
[01:09:34.924 - 01:09:46.524] 这里是 qn 加一减掉 qn 除上德尔塔 t 等于两倍的，这里你照猫画虎，这个地方你用什么逼近？
[01:09:47.564 - 01:09:49.644] 这里你显示还得用什么逼近？
[01:09:49.644 - 01:09:59.964] 就是1/2，二3/2减掉1/2，然后这还是斐再减掉斐。
[01:10:04.748 - 01:10:15.468] 对吧，这个二阶格式你就非常容易就造出来，还是线性，还是这还是线性的，这还是线性，对吧？
[01:10:15.788 - 01:10:16.268] 还是线性。
[01:10:18.428 - 01:10:27.068] 那么它的无条件稳定性这个证明跟这个前面一阶格式一模一样，比那个还简单，比那还简单，是什么呢？
[01:10:27.068 - 01:10:29.868] 就是你乘上这个，你乘上这个玩意儿。
[01:10:32.172 - 01:10:45.132] 你这里乘上这个斐n加一减斐n除上德尔塔t，你这里乘上qn加一加上qn对吧？
[01:10:45.932 - 01:10:52.332] 然后这个这这一项和下面这项就消掉了，1/2吧。
[01:10:53.356 - 01:11:04.796] 这个东西和这个消掉了，剩下的剩下的都是好项，，你就你就一下就证明了这个二阶格式它也是无条件的。
[01:11:07.436 - 01:11:21.036] 所以所以这个这个方法它有就是奇妙之处，奇妙之处就是说它不用这个不用这个离皮之条件，它也可以达到这个二阶的这个无条件。
[01:11:23.052 - 01:11:24.812] 在那打饭，吃饭吃的最勤快。
[01:11:28.460 - 01:11:29.020] Thank you.
[01:11:50.700 - 01:12:05.260] 所以，OK，二阶的这个二阶的格式有一般有两种，两种做法，一种是这个用Kramers-Kronig，另外一种是用BDF，用二阶BDF。
[01:12:05.740 - 01:12:12.620] 它们两个的这个，我剩下几分钟我就讲一讲这个，，到底你平常用的时候用选哪个。
[01:12:13.100 - 01:12:17.820] 你看，这个是用Kramers-Kronig，用Kramers-Kronig你得出来的东西是什么？
[01:12:18.460 - 01:12:20.380] 你得出来一个非常漂亮的这个。
[01:12:20.780 - 01:12:24.300] ，能量稳定性，你得出来的就是这个。
[01:12:59.180 - 01:13:06.380] 就等于这个负七，这个二分之谬n加一。
[01:13:12.940 - 01:13:29.100] 你你这个东西，它这些它这些这些这些玩意都没有了，这些这些多余的这个耗散项全没有了，它没有任何多余的耗散项，你用克莱姆涅克森，它出来的是一个非常漂亮的这个能量等式。
[01:13:30.284 - 01:13:32.364] 没有任何的多余的耗散项，对吧？
[01:13:33.244 - 01:13:34.284] 没有任何多余的耗散项。
[01:13:34.844 - 01:13:53.324] 那么，所以这个格式你要去用来做这个做这个守恒性的守恒守恒的这个方程，或者说做这个哈密尔顿系统，做这个非线性薛定谔方程，它这种它是能量守恒的，你这样子用造出来的格式它还是能量守恒的。
[01:13:54.700 - 01:14:05.180] 它是二阶能量守恒线性的，但是你用它来去做这个耗散性方程，它就不是太好。
[01:14:05.580 - 01:14:07.500] 那做耗散性方程为什么不是太好？
[01:14:07.500 - 01:14:22.380] 就是说它没有多余的耗散项，就是说你在这个你你做数值计算的时候，你就会发现它初始的时候，假如有点误差在这个地方，它永远也搞不掉，它一直在那里。
[01:14:23.724 - 01:14:51.804] 所以所以这个它没有没有任何多余的耗散项，就是说你有有出这项它给你消掉，所以在用耗散型方程的时候，做梯度流的时候，那最好不要去用这个宽格尼可，因为宽格尼可是没有多余的耗散项，所以这个这个这个礼貌的就是这个宽格尼可是good for这个conservative system。
[01:14:55.564 - 01:14:55.564] 嗯。
[01:14:58.572 - 01:14:59.292] Not so good.
[01:15:03.052 - 01:15:05.772] For the for creating participative system.
[01:15:08.236 - 01:15:08.236] 嗯。
[01:15:15.436 - 01:15:20.156] OK，那怎么造这个怎么造二阶这个Hessian格式呢？
[01:15:20.156 - 01:15:26.716] 二阶Hessian格式呢最最常用的一个格式就是就是用BDF，又是二阶的BDF。
[01:15:26.716 - 01:15:33.836] 另外一个就是这个二阶的BDF就是BDF二阶格式，它是怎么造的呢？
[01:15:34.156 - 01:15:42.636] 也是这个很简单，就是就是一个二，就是把这个导数换成一个二阶的这个BDF逼近。
[01:15:44.172 - 01:16:02.892] 这个就是在对这个导数在斐n加一那1.2阶展开，然后就等于负阶，这是在谬n加一，在n加一这点展开，所以所有的东西都是在n加一做，那么这里谬n加一。
[01:16:04.780 - 01:16:28.140] 就等于负的拉普拉斯的斐n加一，然后加上这个qn加一，然后你要这个外差，这里这个外差你现在要不是外差到n加1/2，是要外差到n加一，外差到n加一就是两倍的斐n减掉斐n减一。
[01:16:30.540 - 01:16:55.100] 然后这里就是 Qn 加一减掉 Qn，得到 T 等于两倍的斐 n 减掉斐 n 减一，乘上这个三倍的斐 n 加一减掉四倍的斐 n 加上斐 n 减一，现在等于。
[01:16:56.380 - 01:16:59.820] OK，这个这个就是二阶的 BDF 表示。
[01:17:01.324 - 01:17:03.244] 这是二这个第一页。
[01:17:07.244 - 01:17:07.724] 嗯。
[01:17:11.084 - 01:17:22.684] 这个这里面就是我今天讲的这些格式，这个一阶二阶都是都是没有疑问的，就是都是都是看得展开，一阶就是一阶，二阶就是二阶。
[01:17:23.324 - 01:17:40.284] 那么下面我们要讲这个NS方程的时候，这个阶数你要照着这个格式，阶数就不是那么清楚，就到底一阶还是二阶，就是你你会到时候会发现这东西就就有模糊，就有就有点模糊，但在这里就是。
[01:17:40.076 - 01:17:49.756] 这是非常清楚，一节课对一节课，12节课对12节课，没有没有没有什么这个哦毛病在这里，那么。
[01:17:55.500 - 01:18:05.100] 那么对于这个的这个这个稳定性证明，对于这个的这个稳定性证明，那个步骤也是一样，对吧？
[01:18:05.580 - 01:18:14.540] 步骤也是一样的，你还是对这个东西第一个乘上谬n加一，第二个要乘上这个这个东西。
[01:18:16.268 - 01:18:33.948] 然后第三个要乘上这个 qn 加一，但是现在就是说你你要想得出这个稳定性，就就要处理一下，就是你要对这个东西要乘上这个玩意儿，所以你要处理的就是你要处理这一项。
[01:18:36.876 - 01:18:36.876] Okay.
[01:18:40.748 - 01:18:40.828] 对。
[01:18:46.412 - 01:18:59.052] 就是这这个这个东西到底是能给出你是什么玩意儿，要要要处理这些，就是你把你把这一项处理好了，其他的其他的都没有问题。
[01:18:59.612 - 01:19:08.172] 那个OK，我我把这个东西写出来了，写出来然后然后大家回去你自己去。
[01:19:13.692 - 01:19:26.412] 加上这个两倍的斐n加一减掉斐n的平方，要减掉这个斐n的平方。
[01:19:28.780 - 01:19:48.460] 减掉两，加上两倍的这个斐n，，两倍的斐n减掉斐n减一的平方，然后还要加上一个斐n加一减掉两倍的斐n加上斐n减一的平方。
[01:19:55.180 - 01:19:59.340] OK，OK，这个这个。
[01:20:00.000 - 01:20:01.760] 这个大家回去看一下。
[01:20:05.292 - 01:20:18.252] 这这个这个恒等式，所以有了有了这个恒等式，那你马上就可以证明这个格式，这个格式的这个无条件稳定性。
[01:20:18.300 - 01:20:21.852] 所以今天的这个今天的这个习题。
[01:20:46.092 - 01:20:49.932] 对这个格式，这我也不知道是几个，随便写一个。
[01:21:04.332 - 01:21:06.732] 我刚刚还讲了叫大家干什么？
[01:21:07.052 - 01:21:08.412] 嗯，告诉大家。
[01:21:13.324 - 01:21:14.444] 千万注意这个钱。
[01:21:33.196 - 01:21:34.556] For your 1st year.
[01:21:39.196 - 01:21:39.436] Of course.
[01:21:47.404 - 01:21:50.284] 哎呦，就就就这样。
[01:21:51.484 - 01:21:55.644] 我今天讲的东西主要是讲了这个。
[01:21:59.500 - 01:22:10.460] 讲了这个这个face bill讲了这个这个face bill的这个文档里面的一部分，讲了face bill文章里面的第二步，讲了讲了一小步。
[01:22:10.700 - 01:22:18.780] 反正反正明天我们就接着讲，明天我明天我们再接着这个接着这个思路讲，今那今天就到这里。
