[00:00:00.268 - 00:00:00.268] 嗯。
[00:37:51.436 - 00:38:03.276] 对吧，这边就是负的拉普拉斯算子，加上这个f一撇，这个这个这个这个f一撇就变成了二翻，所以就是两倍的。
[00:38:06.860 - 00:38:13.400] 二的平方，再乘上一个二，所以这里应该是1/4，取1/4。
[00:38:13.980 - 00:38:28.460] 这里取1/4的话，这里还有1/2，那这里1/2，，然后你取，或者我取这个这个这个1/2，二的平方，就这个这个这个。
[00:38:28.460 - 00:38:29.020] 所以这个这个是什么玩意？
[00:38:29.100 - 00:38:31.740] 这这就是这个非线性薛定谔方，是吧？
[00:38:31.900 - 00:38:32.460] 嗯。
[00:38:42.380 - 00:38:47.500] 这个肺腺癌的血尿，所以这是一个这个这个。
[00:38:50.668 - 00:38:56.108] 这个例子，那么这是一个守恒，能量守恒的例子，这是一个能量守恒的例子。
[00:38:56.108 - 00:39:03.468] 那么还再给大家举一个能量守恒的例子吧，那个，就是有些同学可能。
[00:39:07.596 - 00:39:16.236] 就是说这个是一维，这些这些都是这个维数都是可以高维，一维、二维、三维，再高维都行，是吧？
[00:39:16.396 - 00:39:19.116] 都是这里这里没有没有牵涉到多少维数。
[00:39:19.516 - 00:39:25.916] 那么下面一个就是就是一个一维的例子，一维的例子。
[00:39:27.820 - 00:39:28.940] 那个对。
[00:39:32.172 - 00:39:32.652] 嗯。
[00:39:37.548 - 00:39:51.788] 加上这个斐的地方，然后这个计算子呢，这个计算子就是就是就是对x的导数。
[00:39:51.788 - 00:39:53.148] x导数，x导数它是什么？
[00:39:53.308 - 00:39:55.788] 它是反对称的算子，是吧？
[00:39:55.788 - 00:39:59.948] 它你把它分布积分到右边去，它多出来一个负号。
[00:40:00.000 - 00:40:17.520] 所以这个时候你求你求变分导数，你求变分导数这里就出来这个负的 d x x phi 加上三倍的 phi 的平方，对吧？
[00:40:18.720 - 00:40:20.666] 三倍的 phi 的平方。
[00:40:20.693 - 00:40:24.160] 那么这个时候这个方程，我们这个方程就变成了什么东西呢？
[00:40:25.120 - 00:40:27.360] 我们的方程就是 d phi d t。
[00:40:28.748 - 00:40:34.988] 等于这个 g，g 就是负的 dx，然后这个变分导数。
[00:40:42.988 - 00:40:55.468] 那么你把它写开，你把它写开就变成了第一的这个x x x phi，然后加上六倍的 phi phi x。
[00:40:58.604 - 00:41:02.044] 大家记得这是什么方程吗？
[00:41:02.124 - 00:41:10.444] 这是这是这个KDV方程，非线性波的这个KDV方程。
[00:41:10.844 - 00:41:20.044] 所以这个KDV方程它也是它可以也可以写成一个哈密顿系统，就说也在我们这个框架里，它也在这个框架。
[00:41:24.140 - 00:41:31.100] OK，那那下面我们就讲一下对这一类方程，我我们怎么做离散？
[00:41:31.500 - 00:41:36.780] 对这类方程我们做这个怎么做时间离散？
[00:41:37.420 - 00:41:39.820] 那么我我首先给大家。
[00:41:40.204 - 00:42:18.284] ，这个回顾一下，这个过去这20几年来，就是说有一些什么样的这个代表性的，有一些什么样代表性的这个格式，就是说就是说你得想这个你你要想做些研究的话，你得搞清楚别人以前做过这种东西，他有些什么缺点，你有没有办法能够改进，所以你得回顾一下这个，得得得做一些这个做做做一些这个这个little research，回顾一下别人的都做一些什么样的工作，那那。
[00:42:18.156 - 00:42:46.236] 那对于过去这个大家大家考虑的这个不是从不是从这么最最这个普通的最这个广泛的这种形式出发，都是一般的都是从这个都是从这个具体的例子出发，好比说阿拉卡和卡列夫，这是两个这个最常用的例子，这个就是从这个能量出发，从。
[00:42:46.156 - 00:42:56.361] 从这个能量出发，然后去考虑这个阿兰卡方程，或者是这个卡希尔方程，或者说这个卡希尔。
[00:42:56.476 - 00:43:09.596] 那么我们就现在就考虑一下，对于这两个方程，那么它的这个数值格式有些要阿兰卡和。
[00:43:19.084 - 00:43:23.564] OK，这里我强调，我只考虑所谓的这个 energy stable scheme。
[00:43:24.044 - 00:43:26.124] 什么东西叫 energy stable scheme？
[00:43:26.924 - 00:43:38.764] 这个 energy stable scheme 就是说我的这个这个，我假如有个数字格式，它的这个能量在这个 n 加一步，它是小于等于这个能量。
[00:43:40.076 - 00:43:55.276] 在这个n步的能量，就是说它是满足这个耗散律，它满足这个，它就是说这个这个这个是是这个方程的一个这个满足这个方程的这个性质，满足耗散律的性质。
[00:43:55.996 - 00:44:00.476] 那么假如，现在就是step就是就是这个意思，，一个。
[00:44:02.284 - 00:44:12.204] 一个数字格式，它假如满足满足这样的一个性质，我们就叫它是能量稳定的格式，叫它能量稳定。
[00:44:14.604 - 00:44:17.164] 那么你要想这个。
[00:44:18.828 - 00:44:26.828] 造一个格式，使得它能够满足这个它的这个连续方程的这个性质。
[00:44:27.228 - 00:44:29.948] 那么最简单的做法是什么？
[00:44:29.948 - 00:44:40.988] 最简单的做法就是要用全隐格式，因为全隐的格式它最容易满足这个最容易满足这个这个这个方程的性质，是吧？
[00:44:41.228 - 00:44:41.868] 全隐格式。
[00:44:42.428 - 00:44:44.908] 那么第一个我要介绍的就是这个。
[00:44:50.988 - 00:45:08.508] 就是这个全影格式，那么全影格式，一个比较嗯，这个比较这个好的格式就是用用这个，照格式我们有有有这么简单的格式有这么几种，是吧？
[00:45:08.508 - 00:45:09.708] 这个backward oil。
[00:45:11.052 - 00:45:18.412] Bag of Words最简单，下面一个在相对复杂一点，阶数阶数高一点就是就是Convolution，对吧？
[00:45:19.612 - 00:45:22.732] Convolution，Bag of Words是一阶，Convolution是二阶。
[00:45:23.292 - 00:45:33.932] 那么在Bag of Words再上去还有一串的这个，，这个叫BDF，BDF二阶，BDF三阶到BDF六阶七阶都行。
[00:45:34.332 - 00:45:43.532] 所以这都是我们这个常用的，照这个时间离散格式的这个这个方法，当然能够扩大或者。
[00:45:43.404 - 00:45:48.364] 或者是隐式轮廓扩展，显式轮廓扩展，这个又是另外一类的这个格式的。
[00:45:48.844 - 00:45:56.364] 我们这里就就说我假如从这个Kronecker来造这个。
[00:45:58.764 - 00:46:01.804] 来来，照这个全影格式，我怎么照。
[00:46:05.740 - 00:46:20.620] 我现在考虑就是这个，现现在我就考虑我就考虑这个能量，我就我就以这个阿兰卡或者卡皮的方式来做例子，我怎么造这个怎么造这个东西。
[00:46:22.540 - 00:46:41.100] 嗯，那么我我我把这个我把这个阿兰卡和卡西尔还是都用都用一个形式写出来，一个形式写出来的话，就是就是你看这个方程，这个方程。
[00:46:44.748 - 00:46:52.268] 就是我我把它我把它写成，就是 d phi d t，以后我们也也会都都这么做。
[00:46:54.108 - 00:47:04.108] 就我把这个方程我引进一个引进一个新的变量叫 mu，这个 mu 就是就是它的就是它的变分导数。
[00:47:06.412 - 00:47:33.612] 就是我把这个把这个方程我给它写成一个联立方程，那写成个联立方程，以后大家就知道为什么这样子这样子写有好处，因为不管这个积是取，不管这个积是取这个i或者个积取布拉布拉什，我都可以这么取，我就是引进那个中间变量了，那我现在就就对这个联立的方程来做离散，那么。
[00:47:36.780 - 00:47:39.340] 那么，Kronecker是什么意思？
[00:47:39.340 - 00:47:42.260] Kronecker就是这个意思，对吧？
[00:47:42.673 - 00:47:43.980] Kronecker是这个意思。
[00:47:44.300 - 00:47:48.780] 对第一个方程，那对第二个方程，这个Kronecker是什么意思？
[00:47:48.940 - 00:47:55.020] 就是缪，也是n加1/2，那就是二倍的n加一加上缪n。
[00:47:56.236 - 00:47:56.396] 对吧？
[00:47:57.356 - 00:47:59.596] 这是左边，那右边是什么东西呢？
[00:48:00.236 - 00:48:06.796] 右边是它的变分导数，变分导数就是这个玩意儿，变分导数就是这个东西。
[00:48:06.796 - 00:48:17.756] 这个东西第一个，那当然我没有什么，还是宽和尼可，phi n加一加上phi n，那第二个是f一撇phi。
[00:48:18.540 - 00:48:28.780] f(x)的范，我怎么样去逼近它，，才能使得这个，才能才能，我我去怎么样逼近它呢？
[00:48:28.780 - 00:48:30.860] 我这样去解它。
[00:48:35.916 - 00:48:35.996] 嗯。
[00:48:48.780 - 00:48:59.020] OK，当然这个这里这里我写的有一点这个，我我我为了简单起见，就是我现在我不管，我就写成这个形式。
[00:48:59.020 - 00:49:02.140] 这样，这个斐n加一假如等于斐n怎么办？
[00:49:02.460 - 00:49:13.020] 斐n加等于斐n你就不能够这么写，斐n加等于斐n的话，这个一说这个斐n加一等于斐n的话，那么我这个就就就就就。
[00:49:14.892 - 00:49:27.532] 就 set to，那就取这个 f 一撇，这个 f 一撇翻 n 或者 f 翻加都是一样，所以这个时候你就就无所谓，就就是这样的。
[00:49:28.412 - 00:49:37.212] 那么我就说这个格式它是满足能量稳定的，这个格式是满足无条件能量稳定。
[00:49:49.580 - 00:49:54.780] 那么怎么证明怎么证明这个东西是满足无条件能量稳定的呢？
[00:49:55.180 - 00:50:08.300] 那么这个通常的这个技巧，通常的技巧，你看我们要怎么证明，我们要怎么证明这个东西它是满足这个这个玩意儿呢？
[00:50:09.100 - 00:50:10.380] 我们要怎么证明这件事情？
[00:50:10.380 - 00:50:13.900] 我们要证明这件事情是我对这里。
[00:50:15.148 - 00:50:22.188] 乘上缪，然后我对这里要乘上这个斐t，对吧？
[00:50:22.828 - 00:50:42.188] 我对这里乘上斐t，，或者这里乘上这个，，这这里乘上斐t，然后我把这两个合并起来，我把这两个合并起来，这个乘这个，这个乘这个就是d，dt，这个一半，对吧？
[00:50:44.332 - 00:50:55.212] 这个和这个做内积就是，然后这个和这个做内积就等于这个，这个这个东西和这个做内积就等于就等于负的g嗯。
[00:50:58.476 - 00:51:05.356] 这个你把它分开了以后，你怎么去证明它满足这个这个等式，就是你这样一个过程。
[00:51:06.156 - 00:51:14.236] 那么你在这个你你做数字离散合适了以后，然后你怎么样去证明这个跟。
[00:51:15.468 - 00:51:30.188] 跟这个连续方程有相似的这个性质呢，你要要用基本就基本思想就是说你尽量去模仿你在连续情况下你做的事情，尽量去模仿这件事情，是吧？
[00:51:30.428 - 00:51:37.868] 那么我想模仿这件事情，那么我对第一个方程要乘上罗盘，对第一个方程我要乘上这个这个东西。
[00:51:38.892 - 00:51:41.292] 那对第二个方程我要乘上什么？
[00:51:42.652 - 00:51:48.332] 第二个方程我要乘上斐t，斐t它的离散形式是什么？
[00:51:48.332 - 00:51:54.044] 斐n加一乘斐n对吧？
[00:51:54.940 - 00:52:00.892] 或者是你除上德尔塔t，是这个吧？
[00:52:00.892 - 00:52:05.932] OK，然后你马上就这两边一乘，你马上就得出来。
[00:52:07.372 - 00:52:08.412] 得出来什么东西？
[00:52:09.772 - 00:52:16.332] 你看这个东西乘这个，这两个东西就消掉了，它得出来就刚好是你想要的玩意。
[00:52:17.372 - 00:52:25.932] 这个得出来，所以这个东西先和这个相乘，这个东西和这个相乘，那就得出来你分布积分，OK。
[00:52:26.828 - 00:52:32.588] 下面我们讲边界条件，我们我们我到现在没有给大家讲边界条件，对吧？
[00:52:32.908 - 00:52:40.348] 我们做这个卡西尔方程或者做阿拉卡方程，这个边界条件都是都是要考虑。
[00:52:42.348 - 00:52:52.588] 边界条件都是都是都是考虑两种边界条件，一种要么是 d phi d n，d phi d n 等于零。
[00:52:54.492 - 00:52:58.252] 还有这个，还有这个第六点也要等。
[00:53:03.500 - 00:53:07.980] 这个边界条件，或者是或者是周期边界条件。
[00:53:10.540 - 00:53:11.500] 不能去，就去别的。
[00:53:21.004 - 00:53:21.004] 嗯。
[00:53:27.788 - 00:53:38.508] OK，那么你你这两个做内积，然后因为这个边界条件的关系，因为这个边界条件关系，你可以分布积分对吧？
[00:53:38.988 - 00:53:51.468] 你可以分布积分，分布积分边界就边界上就没有了，因为边界条件是拉姆达边界条件，是边界条件就没有了，所以你直接就有，你你直接就就可以这个。
[00:53:53.036 - 00:54:09.276] 就就把这个东西拿过来，说你得出来的这个东西，n加一加n乘上n减n，就是n加一平方减上，就是得出来这个二德尔塔t分之一，这个鬼点y n加一的平方。
[00:54:11.596 - 00:54:15.436] 减掉这个 gradient phi n 的平方，对吧？
[00:54:16.236 - 00:54:18.796] 这个和这个做内积，这就你得出来了。
[00:54:19.116 - 00:54:29.116] 那么这个和这项做内积，就是那就是很简单，就是就是 f phi n 加一减掉 f phi n。
[00:54:31.180 - 00:54:37.340] 然后等于这个右端项这个东西和这个做内积，那么这个东西和这个做内积是什么玩意？
[00:54:37.740 - 00:54:41.996] 这个东西和这个做内积就等于这个和这个做内积，对吧？
[00:54:42.220 - 00:54:53.260] 就等于负的这个七，这个二分之谬n加一加谬n，二分之谬n加一。
[00:54:57.116 - 00:54:58.396] OK，就等于这个。
[00:55:00.396 - 00:55:04.876] 所以你看，那么这个东西，这个东西可以写成什么玩意？
[00:55:06.716 - 00:55:10.876] 我们是一派，就是这个，这就是一派，对吧？
[00:55:11.596 - 00:55:16.556] 这个东西就是一派，所以这个加这个就是。
[00:55:19.276 - 00:55:31.276] 这个加这个就是就是一除上德尔塔 t 的这个一的这个斐 n 加一减掉这个一的斐 n。
[00:55:35.724 - 00:55:37.964] 这个加这个就是这个嘛，是吧？
[00:55:37.964 - 00:55:49.324] 就是这两项加起来就是能量在n加一步，这两项加起来就是能量在n步，所以它们的能量差永远是小于等于零的。
[00:55:54.156 - 00:56:07.996] 所以，所以这个格式看起来这么简单，它就是二阶，所以所以就推出这个 second order 无条件稳定，对吧？
[00:56:25.356 - 00:56:31.116] 二阶无条件能量稳定，它这个格式的一个好处就是二阶无条件能量稳定。
[00:56:32.716 - 00:56:47.516] OK，这是这是一个我们需要的东西，就是说它是它跟这个它跟这个原来方程的这个能量损失是逼近的非常好，这是那个图。
[00:56:47.404 - 00:56:49.244] 但是下面你要考虑的是什么？
[00:56:49.244 - 00:56:58.844] 下面要考虑的是快速有效，现在准确是有，现在准确是有，还得快速有效，那这个满足不满足呢？
[00:56:58.924 - 00:57:01.964] 你看在每一步我现在要解什么东西？
[00:57:03.244 - 00:57:10.684] 每一步我要解的东西是耦合的这个非线性方程组，因为f是非线性的。
[00:57:12.332 - 00:57:12.492] 是吧？
[00:57:12.972 - 00:57:16.332] 我要解一个非，每一步我要解一个非线性方程组。
[00:57:17.932 - 00:57:29.052] 那么大家都知道这个非线性方程组有解没有解，或者什么时候有唯一解，这个都是不确定的，都是不确定的东西。
[00:57:29.852 - 00:57:31.132] 所以这个的毛病是什么？
[00:57:31.212 - 00:57:33.212] 它的这个毛病就是说这个。
[00:57:41.612 - 00:57:41.772] 去。
[00:57:44.236 - 00:57:46.316] 要解一个非线性方程。
[00:57:48.428 - 00:57:48.428] 嗯。
[00:57:52.524 - 00:57:52.524] 嗯。
[00:57:55.436 - 00:57:55.436] 嗯。
[00:57:58.956 - 00:58:15.356] 要解个非线方，这个它的这个存在唯一性都都不确定，只是在这可以证明，就是德尔塔T充分小的时候，在德尔塔T充分小的时候。
[00:58:27.164 - 00:58:29.564] 可以证明它有一个存在唯一解。
[00:58:30.604 - 00:58:39.884] 就是说你虽然是无条件稳定的，虽然是无条件，就是说这个能量永远不管取这个p多大，它都不会它都不会增加。
[00:58:40.284 - 00:58:47.644] 但是它毛病就是说你解这个非线方程，第一比较困难，第二你也不知道它有没有唯一解。
[00:58:48.524 - 00:58:51.084] 它要想有唯一解的话，这个这个。
[00:58:50.508 - 00:58:56.508] 这个解要要非常，这个要要时间步长要非常小才行。
[00:58:59.948 - 00:59:05.308] OK，所以所以这这是这是这个第一种这个办法，那么。
[00:59:13.068 - 00:59:13.548] 嗯。
[00:59:17.132 - 00:59:28.652] 这个最早，这个这个办法最早是最早是这个这个这个办法是最早是这个杜强老师和这个李可磊。
[00:59:34.700 - 00:59:51.020] 大概在119 1199192年左右提出来的一个这个方法，就是说从理论上看还是很不错，它有二阶无条件能量稳定，但是算起来非常麻烦，算起来非常麻烦。
[00:59:51.660 - 00:59:59.820] 那么下面一类这个这个方法我要给大家介绍一下，就是比较常用的就是。
[01:00:00.000 - 01:00:02.240] 所谓的这个突分裂哈。
[01:00:09.452 - 01:00:14.732] 这个突突分裂，那么这个突分裂方法是什么意思？
[01:00:14.812 - 01:00:16.252] 突分裂方法就是假设。
[01:00:21.676 - 01:00:44.556] 假设这个f i可以把它分成两部分，假设这个f i可以把它分成两部分，它可以写成一部分是这个，分成两部分，f c和f e c是convex，这个e是exponential，就是说，而且这两个函数都是convex。
[01:00:47.564 - 01:00:47.644] 对。
[01:00:50.988 - 01:00:50.988] 嗯。
[01:00:56.684 - 01:01:05.484] 都是都是凸函数的话，假如这两个都是凸函数的话，那么我们就可以构造下面这种格式。
[01:01:05.484 - 01:01:09.644] 这个凸分裂的格式就是这么构造。
[01:01:15.692 - 01:01:29.132] 等于负 g 这个谬 n 加一，我这里我就只能用一阶格式，就是说我我只能做这个一阶，我我先先做这个一阶格式。
[01:01:29.772 - 01:01:40.332] 那么这个一阶格式，这是第一个第一步，第二步就是谬 n 加一等于这个负的拉普拉斯这个斐 n 加一。
[01:01:42.428 - 01:01:45.628] 然后，然后这个非线性项怎么处理？
[01:01:46.028 - 01:01:50.668] 这个非线性项有两部分，一部分我用隐式处理。
[01:01:54.316 - 01:01:55.676] 一部分我又显示出。
[01:02:02.412 - 01:02:03.212] 一步步往下写。
[01:02:04.172 - 01:02:25.932] 那么这就是这就是所谓的这个突分裂可持，突分裂可持它的它的这个它这个做法也也也这个就是说也是非常一般的，就是你假如这个东西能够能够分成这样子的话，那么我们就就这么干。
[01:02:28.012 - 01:02:30.652] 这个分裂不一定唯一的，这个不一定唯一的，你看。
[01:02:32.524 - 01:02:43.884] 假如这个f斐等于这个斐的平方减一的平方的话，那么这个你就可以说我我这个可以写成什么？
[01:02:44.044 - 01:02:53.164] 这是这是斐的四次方加上一，这是个凸函数，减掉两倍的斐的平方，它也是个凸函数，对吧？
[01:02:54.204 - 01:02:55.244] 所以我就可以这样来分。
[01:02:56.780 - 01:03:05.340] 但但是你这里这个常数是一或者是你你这里加个常数，这里减掉一个常数都都不变，所以它这个分裂不是唯一的。
[01:03:05.900 - 01:03:11.340] 只要找出这样的一个分裂就就行，那么我就就可以造这个。
[01:03:15.852 - 01:03:15.852] 嗯。
[01:03:20.556 - 01:03:27.276] 那么这个格式我们怎么证明这个它是怎么证明它是无条件能量稳定的？
[01:03:27.676 - 01:03:28.876] 怎么证明它的稳定性呢？
[01:03:29.356 - 01:03:36.716] 我我要要乘的东西还是跟这个一样，跟这个一样，对不对？
[01:03:37.036 - 01:03:44.716] 我第一个我要乘上这个谬n加一，第一个我要乘上谬n加一，第二个我要乘什么？
[01:03:45.516 - 01:03:50.156] y n加一减上y n除上德尔塔t，是吧？
[01:03:51.212 - 01:03:55.052] 这还是我还是要这么做，我还是要这么做。
[01:03:55.372 - 01:04:04.172] 那么那现在现在你看这个和这个做内积这个好办，这个和这个做内积它会出来什么东西？
[01:04:04.252 - 01:04:20.252] 现在就是说我们我们有有这个玩意儿，就是就是一个一个事情我们经常要用的以后，就是你假如这个a减b和a做内积的话。
[01:04:21.228 - 01:04:33.468] a减b和a做内积的话，它就是你你它是a减b，这里a你可以写成1/2的两倍的1/2的这个1/2的二a对吧？
[01:04:33.468 - 01:04:39.628] 你给它写成1/2的二a，然后二a你可以把它写成a加b，a减b。
[01:04:42.956 - 01:04:58.201] 好，你把这个东西你把它写在这边，然后 a 减 b 乘上 a 加 b 就等于这个这个 a 的平方减掉 b 的平方，然后 a 减 b a 减 b 就是 a 减 b 的平方。
[01:04:58.396 - 01:05:02.636] OK，这个这个恒等式我们以后一天到晚要用，就是说这个。
[01:05:04.076 - 01:05:08.156] 这个玩意儿，这个做内积，它就出来了，出来出来这样的项。
[01:05:09.916 - 01:05:18.796] 所以所以这个没有问题，这个东西和这个出出出来做内积，就斐n加一的平方减上斐n的平方，加上这个是这个是多余的项，不管它。
[01:05:19.756 - 01:05:25.676] 那下面就要考虑这个和这个做内积，和这个和这个做内积，它是什么东西？
[01:05:35.692 - 01:05:36.172] 嗯。
[01:05:55.500 - 01:05:59.980] OK，我先看这个和这个做练习，就是FC。
[01:06:02.540 - 01:06:08.780] 一撇 y n 加一，和 y n 加一减 y n 做内积。
[01:06:10.924 - 01:06:12.844] 这个这个东西是是什么？
[01:06:14.604 - 01:06:22.284] 这个东西那就是说我要我要这个，我我希望得出什么？
[01:06:22.924 - 01:06:36.044] 我希望得出这个，我希望得出的是这个 f c，phi n 加一减掉这个减掉这个 f c。
[01:06:37.772 - 01:06:42.412] 这个发，我我希望是这个玩意，是吧？
[01:06:45.132 - 01:06:52.572] 因为我我希望得出他们两个能量的差，那那这个东西什么意思？
[01:06:52.572 - 01:06:54.732] 就是说我要做它的展开，是吧？
[01:06:55.084 - 01:06:57.804] 我要做它的展开，我在哪里？
[01:06:57.884 - 01:06:59.404] 我对哪个做它的展开？
[01:06:59.404 - 01:07:02.764] 你看，我要在这个斐n加一这个地方做它的展开。
[01:07:02.764 - 01:07:13.884] 我在斐n加一这个地方做它的展开，所以就是实际上就是f c斐n，我要在这个，在这个f。
[01:07:16.812 - 01:07:30.332] 在这个斐n加一这个地方做泰勒展开，所以第一项就是f'一撇斐n加一，然后乘上这个斐n减掉斐n加一，对吧？
[01:07:30.412 - 01:07:31.052] 这是第一项。
[01:07:33.132 - 01:07:41.932] 那么第二项就是1/2这个f''c两撇在某一点。
[01:07:43.884 - 01:07:51.484] 在某一点，然后这个斐n减掉斐n加一，求上这个斐n减掉斐n减一。
[01:07:58.156 - 01:07:58.316] 对吧？
[01:07:58.556 - 01:08:11.516] 就就是就是就是这种，所以那那你看这个东西，所以这个减这个就等于这一项，是吧？
[01:08:11.596 - 01:08:22.556] 就刚好是等于这一项，这里是斐n减斐n加一，你移过来就变成斐n加一减斐n，，然后然后这项是正的，对吧？
[01:08:23.740 - 01:08:39.820] 这一项是，这一项是大于，这里因为这个f c是是凸函数，这是凸函数，所以它这个是正的，所以所以说这个东西它是它是大于还是小于？
[01:08:41.420 - 01:08:44.140] 它是这里这里是是减上一个这是。
[01:08:49.964 - 01:08:58.364] 这个东西是加上一个正，加上一个大于零的，加上一个大于零的一个东西，对吧？
[01:08:59.564 - 01:09:02.604] 加上一个大于零，所以这个东西是大于大于零的。
[01:09:02.604 - 01:09:05.304] 大于零。
[01:09:05.724 - 01:09:09.084] 然后你看这一项还有这一项乘这一项，对吧？
[01:09:09.324 - 01:09:19.564] 这样乘这一项你你同样炮制，同样炮制就是说这一项是这一项，那你就是你要考虑的是f一。
[01:09:22.348 - 01:09:27.228] 一撇，这个斐n，然后斐n加一减斐n，对吧？
[01:09:28.428 - 01:09:43.628] 这，这个东西你也是希望它是等于，你也是希望它是等于这个f一斐n加一减掉f一斐n，然后。
[01:09:45.100 - 01:09:48.620] 然后你要，这个二，这个这一项到底是正的还是负的，是吧？
[01:09:48.620 - 01:09:52.060] 你看，这个二的这一项是正的还是负的？
[01:09:52.620 - 01:10:12.060] 那么你同样，你对这个东西做泰勒展开，你对这个东西做泰勒展开，这这里你在f n加一做它的展开，那么这里你就要在在f n做它的展开，所以这个减上这个就等于这个，所以这里是减上一个。
[01:10:13.228 - 01:10:16.748] 大于等于零，减出来就大于等于零。
[01:10:19.404 - 01:10:26.924] OK，那这样子的话，你你把它两个连起来，你把它两个连起来就推出什么玩意儿？
[01:10:29.196 - 01:10:38.716] 你把它两个连起来，你就推出第一项，这里是这个1/2德尔塔t，这个。
[01:10:42.540 - 01:10:46.780] 斐n加一的平方，减掉斐n的平方。
[01:10:49.452 - 01:11:00.012] 然后加上这个，这下无所谓，斐n加一减掉斐n，哦，这是great，都是great点，都是great点，都是great点。
[01:11:07.020 - 01:11:28.780] 然后加上加上这个减这个，然后再减上这个减这个，但是你把这两个东西加起来，这个东西减这个就等于f i，这就变成f i n加一，还有一个德尔塔 t。
[01:11:32.844 - 01:11:36.284] 然后减掉f，y的n。
[01:11:38.540 - 01:11:58.540] OK，它这个时候就不是等号了，我们丢掉了这两项，你看这两项刚好是符号一样的，这里这里还有一个负号，就这两项，符号这样你自己去签一下，符号一样的，所以这个东西它叫小于等于，它不是等于了，它是小于等于这个右端项。
[01:12:15.084 - 01:12:36.524] 那这里你就直接推出来，你看这个这个加这个就是能量在n加一步，这个加上这个就是能量在n步，所以它这个东西就是就直接是e的n加一，对吧？
[01:12:36.684 - 01:12:37.804] 直接推出来这个。
[01:12:38.044 - 01:12:39.564] 所以这个格式也是什么？
[01:12:39.964 - 01:12:43.004] 这个格式也是这个无条件。
[01:12:45.484 - 01:12:56.364] 能量武器，就是就是随便，这个也是无条件能量武器。
[01:12:57.484 - 01:12:59.324] 但是它和那个相比是什么东西？
[01:12:59.884 - 01:13:01.324] 它只是只是一阶。
[01:13:04.428 - 01:13:04.988] 嗯。
[01:13:09.628 - 01:13:26.668] OK，那我们休息休息15min吧，休息15到到30~35，到35休息15min，然后我们再接着往下面讲这个这个格式相对于这个格式它的优点在哪里，缺点在哪里。
